nombre,size,ms,clocks
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023936,23936 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.02328,23280 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023354,23354 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023309,23309 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023336,23336 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023289,23289 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023295,23295 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023312,23312 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023321,23321 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023289,23289 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023289,23289 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023295,23295 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023321,23321 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.0233,23300 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023327,23327 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023295,23295 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023309,23309 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023333,23333 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023271,23271 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.0233,23300 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.02333,23330 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023321,23321 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023309,23309 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023318,23318 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023271,23271 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023336,23336 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023291,23291 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023312,23312 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.023292,23292 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,0.02333,23330 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,11.3696,11369597 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,8.41426,8414255 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,5.90837,5908371 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,6.43169,6431688 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,5.60623,5606230 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,5.59081,5590812 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,5.65311,5653106 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,5.40181,5401808 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,7.20247,7202474 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,10.1179,10117927 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,5.97852,5978519 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,5.71574,5715737 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,5.47004,5470041 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,5.72575,5725748 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,5.6517,5651699 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,6.63336,6633359 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,6.86264,6862643 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,9.40936,9409361 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,8.98822,8988216 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,7.27491,7274912 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,8.60917,8609168 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,6.60844,6608443 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,6.86182,6861822 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,6.54179,6541787 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,7.98869,7988693 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,7.08112,7081124 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,11.1829,11182947 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,8.16658,8166584 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,9.1505,9150503 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,6.10834,6108343 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.059375,59375 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.057588,57588 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.088928,88928 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056035,56035 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.055985,55985 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056047,56047 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056094,56094 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056464,56464 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056026,56026 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056842,56842 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056182,56182 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056097,56097 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.05602,56020 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.055973,55973 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056094,56094 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056239,56239 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056375,56375 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056112,56112 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056207,56207 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.055982,55982 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056003,56003 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056112,56112 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056848,56848 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056112,56112 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.091395,91395 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.088266,88266 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.05623,56230 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056062,56062 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056349,56349 
./img/2001ASpaceOdyssey.200x100.bmp,200x100,0.056038,56038 
./img/2001ASpaceOdyssey.256x128.bmp,256x128,0.092439,92439 
