nombre,size,ms,clocks
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15796,1157958 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15471,1154710 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15626,1156260 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15492,1154921 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15534,1155344 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15481,1154812 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.22633,1226330 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.2481,1248096 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15461,1154610 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15465,1154646 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15453,1154534 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15473,1154728 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15475,1154748 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15464,1154643 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15448,1154480 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15475,1154749 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15453,1154528 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15463,1154628 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.26465,1264652 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15515,1155148 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15467,1154667 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15479,1154788 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.15349,1153487 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.76975,1769753 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.22266,1222657 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.1243,1124297 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.12442,1124421 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.12428,1124280 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.12411,1124111 
./img/2001ASpaceOdyssey.128x64.bmp,128x64,1.12435,1124347 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,211.236,211235989 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,209.444,209443905 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,209.486,209485628 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,205.459,205459266 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,207.351,207350771 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,208.69,208690223 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,207.895,207895007 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,208.644,208644293 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,205.951,205951344 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,210.582,210581789 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,211.481,211480798 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,211.414,211413980 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,213.859,213858616 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,205.976,205976004 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,206.155,206154869 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,208.076,208076110 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,205.833,205832597 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,207.859,207859115 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,208.408,208408018 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,205.332,205331756 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,209.746,209746154 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,206.731,206731176 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,205.217,205217077 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,206.537,206537349 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,206.249,206249210 
./img/2001ASpaceOdyssey.1600x800.bmp,1600x800,209.088,209088304 
